"","RegionCentroidLatitude","RegionCentroidLongitude","ID","Binomial","State","MaxStatus","count"
"1",-42.56615211,145.6211809,5291,"Prasophyllum_crebriflorum","Tasmania","Endangered",1
"2",-41.28197086,146.1451601,4779,"Caladenia_caudata","Tasmania","Vulnerable",1
"3",-40.43566564,147.8210816,5259,"Phebalium_daviesii","Tasmania","Critically Endangered",3
"4",-40.43566564,147.8210816,5260,"Phebalium_daviesii","Tasmania","Critically Endangered",3
"5",-40.43566564,147.8210816,5304,"Prasophyllum_pulchellum","Tasmania","Critically Endangered",3
"6",-38.75598286,143.6921367,5120,"Leiocarpa_gatesii","Victoria","Vulnerable",11
"7",-38.75598286,143.6921367,5121,"Leiocarpa_gatesii","Victoria","Vulnerable",11
"8",-38.75598286,143.6921367,5122,"Leiocarpa_gatesii","Victoria","Vulnerable",11
"9",-38.75598286,143.6921367,5123,"Leiocarpa_gatesii","Victoria","Vulnerable",11
"10",-38.75598286,143.6921367,5124,"Leiocarpa_gatesii","Victoria","Vulnerable",11
"11",-38.75598286,143.6921367,5125,"Leiocarpa_gatesii","Victoria","Vulnerable",11
"12",-38.75598286,143.6921367,5126,"Leiocarpa_gatesii","Victoria","Vulnerable",11
"13",-38.75598286,143.6921367,5127,"Leiocarpa_gatesii","Victoria","Vulnerable",11
"14",-38.75598286,143.6921367,5128,"Leiocarpa_gatesii","Victoria","Vulnerable",11
"15",-38.75598286,143.6921367,5129,"Leiocarpa_gatesii","Victoria","Vulnerable",11
"16",-38.75598286,143.6921367,5130,"Leiocarpa_gatesii","Victoria","Vulnerable",11
"17",-38.38643205,146.2603928,5330,"Prostanthera_galbraithiae","Victoria","Vulnerable",6
"18",-38.38643205,146.2603928,5331,"Prostanthera_galbraithiae","Victoria","Vulnerable",6
"19",-38.38643205,146.2603928,5332,"Prostanthera_galbraithiae","Victoria","Vulnerable",6
"20",-38.38643205,146.2603928,5561,"Xerochrysum_palustre","Victoria","Vulnerable",6
"21",-38.38643205,146.2603928,5563,"Xerochrysum_palustre","Victoria","Vulnerable",6
"22",-38.38643205,146.2603928,5564,"Xerochrysum_palustre","Victoria","Vulnerable",6
"23",-38.32100885,144.2402249,5059,"Grevillea_infecunda","Victoria","Vulnerable",26
"24",-38.32100885,144.2402249,5060,"Grevillea_infecunda","Victoria","Vulnerable",26
"25",-38.32100885,144.2402249,5061,"Grevillea_infecunda","Victoria","Vulnerable",26
"26",-38.32100885,144.2402249,5062,"Grevillea_infecunda","Victoria","Vulnerable",26
"27",-38.32100885,144.2402249,5063,"Grevillea_infecunda","Victoria","Vulnerable",26
"28",-38.32100885,144.2402249,5064,"Grevillea_infecunda","Victoria","Vulnerable",26
"29",-38.32100885,144.2402249,5065,"Grevillea_infecunda","Victoria","Vulnerable",26
"30",-38.32100885,144.2402249,5066,"Grevillea_infecunda","Victoria","Vulnerable",26
"31",-38.32100885,144.2402249,5067,"Grevillea_infecunda","Victoria","Vulnerable",26
"32",-38.32100885,144.2402249,5068,"Grevillea_infecunda","Victoria","Vulnerable",26
"33",-38.32100885,144.2402249,5069,"Grevillea_infecunda","Victoria","Vulnerable",26
"34",-38.32100885,144.2402249,5070,"Grevillea_infecunda","Victoria","Vulnerable",26
"35",-38.32100885,144.2402249,5071,"Grevillea_infecunda","Victoria","Vulnerable",26
"36",-38.32100885,144.2402249,5072,"Grevillea_infecunda","Victoria","Vulnerable",26
"37",-38.32100885,144.2402249,5073,"Grevillea_infecunda","Victoria","Vulnerable",26
"38",-38.32100885,144.2402249,5074,"Grevillea_infecunda","Victoria","Vulnerable",26
"39",-38.32100885,144.2402249,5075,"Grevillea_infecunda","Victoria","Vulnerable",26
"40",-38.32100885,144.2402249,5076,"Grevillea_infecunda","Victoria","Vulnerable",26
"41",-38.32100885,144.2402249,5077,"Grevillea_infecunda","Victoria","Vulnerable",26
"42",-38.32100885,144.2402249,5078,"Grevillea_infecunda","Victoria","Vulnerable",26
"43",-38.32100885,144.2402249,5079,"Grevillea_infecunda","Victoria","Vulnerable",26
"44",-38.32100885,144.2402249,5080,"Grevillea_infecunda","Victoria","Vulnerable",26
"45",-38.32100885,144.2402249,5081,"Grevillea_infecunda","Victoria","Vulnerable",26
"46",-38.32100885,144.2402249,5082,"Grevillea_infecunda","Victoria","Vulnerable",26
"47",-38.32100885,144.2402249,5083,"Grevillea_infecunda","Victoria","Vulnerable",26
"48",-38.32100885,144.2402249,5084,"Grevillea_infecunda","Victoria","Vulnerable",26
"49",-37.84704817,143.2517563,5006,"Dianella_amoena","Victoria","Endangered",23
"50",-37.84704817,143.2517563,5131,"Lepidium_aschersonii","Victoria","Vulnerable",23
"51",-37.84704817,143.2517563,5133,"Lepidium_aschersonii","Victoria","Vulnerable",23
"52",-37.84704817,143.2517563,5134,"Lepidium_aschersonii","Victoria","Vulnerable",23
"53",-37.84704817,143.2517563,5135,"Lepidium_aschersonii","Victoria","Vulnerable",23
"54",-37.84704817,143.2517563,5136,"Lepidium_aschersonii","Victoria","Vulnerable",23
"55",-37.84704817,143.2517563,5137,"Lepidium_aschersonii","Victoria","Vulnerable",23
"56",-37.84704817,143.2517563,5305,"Prasophyllum_suaveolens","Victoria","Endangered",23
"57",-37.84704817,143.2517563,5306,"Prasophyllum_suaveolens","Victoria","Endangered",23
"58",-37.84704817,143.2517563,5307,"Prasophyllum_suaveolens","Victoria","Endangered",23
"59",-37.84704817,143.2517563,5308,"Prasophyllum_suaveolens","Victoria","Endangered",23
"60",-37.84704817,143.2517563,5309,"Prasophyllum_suaveolens","Victoria","Endangered",23
"61",-37.84704817,143.2517563,5383,"Pterostylis_basaltica","Victoria","Endangered",23
"62",-37.84704817,143.2517563,5455,"Rutidosis_leptorhynchoides","Victoria","Endangered",23
"63",-37.84704817,143.2517563,5467,"Senecio_macrocarpus","Victoria","Vulnerable",23
"64",-37.84704817,143.2517563,5468,"Senecio_macrocarpus","Victoria","Vulnerable",23
"65",-37.84704817,143.2517563,5469,"Senecio_macrocarpus","Victoria","Vulnerable",23
"66",-37.84704817,143.2517563,5470,"Senecio_macrocarpus","Victoria","Vulnerable",23
"67",-37.84704817,143.2517563,5471,"Senecio_macrocarpus","Victoria","Vulnerable",23
"68",-37.84704817,143.2517563,5472,"Senecio_macrocarpus","Victoria","Vulnerable",23
"69",-37.84704817,143.2517563,5473,"Senecio_macrocarpus","Victoria","Vulnerable",23
"70",-37.84704817,143.2517563,5474,"Senecio_macrocarpus","Victoria","Vulnerable",23
"71",-37.84704817,143.2517563,5562,"Xerochrysum_palustre","Victoria","Vulnerable",23
"72",-37.67163105,146.4117217,5035,"Eucalyptus_ornans","Victoria","Critically Endangered",1
"73",-37.34930962,140.0267898,5024,"Acanthocladium_dockeri","South Australia","Critically Endangered",6
"74",-37.34930962,140.0267898,5292,"Prasophyllum_frenchii","South Australia","Endangered",6
"75",-37.34930962,140.0267898,5293,"Prasophyllum_frenchii","South Australia","Endangered",6
"76",-37.34930962,140.0267898,5294,"Prasophyllum_frenchii","South Australia","Endangered",6
"77",-37.34930962,140.0267898,5295,"Prasophyllum_frenchii","South Australia","Endangered",6
"78",-37.34930962,140.0267898,5296,"Prasophyllum_frenchii","South Australia","Endangered",6
"79",-37.34715227,148.3701071,5557,"Thesium_australe","Victoria","Vulnerable",1
"80",-37.25678172,142.3822528,4736,"Borya_mirabilis","Victoria","Endangered",3
"81",-37.25678172,142.3822528,5479,"Sphaerolobium_acanthos","Victoria","Critically Endangered",3
"82",-37.25678172,142.3822528,5480,"Sphaerolobium_acanthos","Victoria","Critically Endangered",3
"83",-37.21970708,144.8841341,5004,"Daviesia_laevis","Victoria","Vulnerable",8
"84",-37.21970708,144.8841341,5283,"Pomaderris_subplicata","Victoria","Vulnerable",8
"85",-37.21970708,144.8841341,5284,"Pomaderris_subplicata","Victoria","Vulnerable",8
"86",-37.21970708,144.8841341,5285,"Pomaderris_subplicata","Victoria","Vulnerable",8
"87",-37.21970708,144.8841341,5286,"Pomaderris_subplicata","Victoria","Vulnerable",8
"88",-37.21970708,144.8841341,5287,"Pomaderris_subplicata","Victoria","Vulnerable",8
"89",-37.21970708,144.8841341,5288,"Pomaderris_subplicata","Victoria","Vulnerable",8
"90",-37.21970708,144.8841341,5289,"Pomaderris_subplicata","Victoria","Vulnerable",8
"91",-37.11906715,148.6075466,5554,"Thesium_australe","Victoria","Vulnerable",1
"92",-36.95318691,140.406113,4849,"Cassinia_tegulata","South Australia","Critically Endangered",1
"93",-36.88372003,146.7575184,5132,"Lepidium_aschersonii","Victoria","Vulnerable",2
"94",-36.88372003,146.7575184,5577,"Zieria_citriodora","Victoria","Vulnerable",2
"95",-36.85791566,143.9087018,4848,"Calochilus_richiae","Victoria","Endangered",13
"96",-36.85791566,143.9087018,5466,"Senecio_macrocarpus","Victoria","Vulnerable",13
"97",-36.85791566,143.9087018,5635,"Ballantinia_antipoda","Victoria","Endangered",13
"98",-36.85791566,143.9087018,5636,"Ballantinia_antipoda","Victoria","Endangered",13
"99",-36.85791566,143.9087018,5637,"Ballantinia_antipoda","Victoria","Endangered",13
"100",-36.85791566,143.9087018,5638,"Ballantinia_antipoda","Victoria","Endangered",13
"101",-36.85791566,143.9087018,5639,"Ballantinia_antipoda","Victoria","Endangered",13
"102",-36.85791566,143.9087018,5640,"Ballantinia_antipoda","Victoria","Endangered",13
"103",-36.85791566,143.9087018,5641,"Ballantinia_antipoda","Victoria","Endangered",13
"104",-36.85791566,143.9087018,5642,"Ballantinia_antipoda","Victoria","Endangered",13
"105",-36.85791566,143.9087018,5643,"Ballantinia_antipoda","Victoria","Endangered",13
"106",-36.85791566,143.9087018,5644,"Ballantinia_antipoda","Victoria","Endangered",13
"107",-36.85791566,143.9087018,5645,"Ballantinia_antipoda","Victoria","Endangered",13
"108",-36.84486422,148.0156427,5552,"Thesium_australe","Victoria","Vulnerable",4
"109",-36.84486422,148.0156427,5553,"Thesium_australe","Victoria","Vulnerable",4
"110",-36.84486422,148.0156427,5555,"Thesium_australe","Victoria","Vulnerable",4
"111",-36.84486422,148.0156427,5556,"Thesium_australe","Victoria","Vulnerable",4
"112",-36.5434572,142.1688746,4728,"Acacia_enterocarpa","Victoria","Endangered",9
"113",-36.5434572,142.1688746,4729,"Acacia_enterocarpa","Victoria","Endangered",9
"114",-36.5434572,142.1688746,4730,"Acacia_enterocarpa","Victoria","Endangered",9
"115",-36.5434572,142.1688746,4731,"Acacia_enterocarpa","Victoria","Endangered",9
"116",-36.5434572,142.1688746,4732,"Acacia_enterocarpa","Victoria","Endangered",9
"117",-36.5434572,142.1688746,5486,"Spyridium_furculentum","Victoria","Endangered",9
"118",-36.5434572,142.1688746,5487,"Spyridium_furculentum","Victoria","Endangered",9
"119",-36.5434572,142.1688746,5496,"Swainsona_murrayana","Victoria","Vulnerable",9
"120",-36.5434572,142.1688746,5500,"Swainsona_murrayana","Victoria","Vulnerable",9
"121",-36.53324171,149.7389788,5282,"Pomaderris_pallida","New South Wales","Vulnerable",5
"122",-36.53324171,149.7389788,5575,"Zieria_adenophora","New South Wales","Critically Endangered",5
"123",-36.53324171,149.7389788,5576,"Zieria_buxijugum","New South Wales","Critically Endangered",5
"124",-36.53324171,149.7389788,5578,"Zieria_formosa","New South Wales","Endangered",5
"125",-36.53324171,149.7389788,5601,"Zieria_tuberculata","New South Wales","Vulnerable",5
"126",-36.31880487,144.9278026,5456,"Senecio_behrianus","Victoria","Endangered",38
"127",-36.31880487,144.9278026,5458,"Senecio_behrianus","Victoria","Endangered",38
"128",-36.31880487,144.9278026,5459,"Senecio_behrianus","Victoria","Endangered",38
"129",-36.31880487,144.9278026,5491,"Swainsona_murrayana","Victoria","Vulnerable",38
"130",-36.31880487,144.9278026,5492,"Swainsona_murrayana","Victoria","Vulnerable",38
"131",-36.31880487,144.9278026,5495,"Swainsona_murrayana","Victoria","Vulnerable",38
"132",-36.31880487,144.9278026,5497,"Swainsona_murrayana","Victoria","Vulnerable",38
"133",-36.31880487,144.9278026,5498,"Swainsona_murrayana","Victoria","Vulnerable",38
"134",-36.31880487,144.9278026,5499,"Swainsona_murrayana","Victoria","Vulnerable",38
"135",-36.31880487,144.9278026,5501,"Swainsona_murrayana","Victoria","Vulnerable",38
"136",-36.31880487,144.9278026,5503,"Swainsona_murrayana","Victoria","Vulnerable",38
"137",-36.31880487,144.9278026,5504,"Swainsona_murrayana","Victoria","Vulnerable",38
"138",-36.31880487,144.9278026,5505,"Swainsona_murrayana","Victoria","Vulnerable",38
"139",-36.31880487,144.9278026,5507,"Swainsona_plagiotropis","Victoria","Vulnerable",38
"140",-36.31880487,144.9278026,5509,"Swainsona_plagiotropis","Victoria","Vulnerable",38
"141",-36.31880487,144.9278026,5510,"Swainsona_plagiotropis","Victoria","Vulnerable",38
"142",-36.31880487,144.9278026,5511,"Swainsona_plagiotropis","Victoria","Vulnerable",38
"143",-36.31880487,144.9278026,5512,"Swainsona_plagiotropis","Victoria","Vulnerable",38
"144",-36.31880487,144.9278026,5513,"Swainsona_plagiotropis","Victoria","Vulnerable",38
"145",-36.31880487,144.9278026,5514,"Swainsona_plagiotropis","Victoria","Vulnerable",38
"146",-36.31880487,144.9278026,5515,"Swainsona_plagiotropis","Victoria","Vulnerable",38
"147",-36.31880487,144.9278026,5516,"Swainsona_plagiotropis","Victoria","Vulnerable",38
"148",-36.31880487,144.9278026,5517,"Swainsona_plagiotropis","Victoria","Vulnerable",38
"149",-36.31880487,144.9278026,5518,"Swainsona_plagiotropis","Victoria","Vulnerable",38
"150",-36.31880487,144.9278026,5519,"Swainsona_plagiotropis","Victoria","Vulnerable",38
"151",-36.31880487,144.9278026,5520,"Swainsona_plagiotropis","Victoria","Vulnerable",38
