"","RegionCentroidLatitude","RegionCentroidLongitude","TaxonID","Binomial","State","MaxStatus"
"1",-42.56615211,145.6211809,"p_65305","Prasophyllum_crebriflorum","Tasmania","Endangered"
"2",-41.28197086,146.1451601,"p_13915","Caladenia_caudata","Tasmania","Vulnerable"
"3",-40.43566564,147.8210816,"p_61178","Phebalium_daviesii","Tasmania","Critically Endangered"
"4",-40.43566564,147.8210816,"p_65326","Prasophyllum_pulchellum","Tasmania","Critically Endangered"
"5",-38.75598286,143.6921367,"p_48062","Leiocarpa_gatesii","Victoria","Vulnerable"
"6",-38.38643205,146.2603928,"p_65549","Prostanthera_galbraithiae","Victoria","Vulnerable"
"7",-38.38643205,146.2603928,"p_83539","Xerochrysum_palustre","Victoria","Vulnerable"
"8",-38.32100885,144.2402249,"p_38963","Grevillea_infecunda","Victoria","Vulnerable"
"9",-37.84704817,143.2517563,"p_25298","Dianella_amoena","Victoria","Endangered"
"10",-37.84704817,143.2517563,"p_48300","Lepidium_aschersonii","Victoria","Vulnerable"
"11",-37.84704817,143.2517563,"p_65336","Prasophyllum_suaveolens","Victoria","Endangered"
"12",-37.84704817,143.2517563,"p_66313","Pterostylis_basaltica","Victoria","Endangered"
"13",-37.84704817,143.2517563,"p_70390","Rutidosis_leptorhynchoides","Victoria","Endangered"
"14",-37.84704817,143.2517563,"p_72607","Senecio_macrocarpus","Victoria","Vulnerable"
"15",-37.84704817,143.2517563,"p_83539","Xerochrysum_palustre","Victoria","Vulnerable"
"16",-37.67163105,146.4117217,"p_32586","Eucalyptus_ornans","Victoria","Critically Endangered"
"17",-37.34930962,140.0267898,"p_3112","Acanthocladium_dockeri","South Australia","Critically Endangered"
"18",-37.34930962,140.0267898,"p_65310","Prasophyllum_frenchii","South Australia","Endangered"
"19",-37.34715227,148.3701071,"p_78900","Thesium_australe","Victoria","Vulnerable"
"20",-37.25678172,142.3822528,"p_12162","Borya_mirabilis","Victoria","Endangered"
"21",-37.25678172,142.3822528,"p_74788","Sphaerolobium_acanthos","Victoria","Critically Endangered"
"22",-37.21970708,144.8841341,"p_24601","Daviesia_laevis","Victoria","Vulnerable"
"23",-37.21970708,144.8841341,"p_64936","Pomaderris_subplicata","Victoria","Vulnerable"
"24",-37.11906715,148.6075466,"p_78900","Thesium_australe","Victoria","Vulnerable"
