"","iso","alert__year","alert__week","alert__count","confidence__cat","iso_week"
"1","AUS",2012,3,490,"h","2012-W03"
"2","AUS",2012,4,1275,"h","2012-W04"
"3","AUS",2012,5,1420,"h","2012-W05"
"4","AUS",2012,6,1087,"h","2012-W06"
"5","AUS",2012,7,2234,"h","2012-W07"
"6","AUS",2012,8,1450,"h","2012-W08"
"7","AUS",2012,9,316,"h","2012-W09"
"8","AUS",2012,10,230,"h","2012-W10"
"9","AUS",2012,11,266,"h","2012-W11"
"10","AUS",2012,12,410,"h","2012-W12"
"11","AUS",2012,13,955,"h","2012-W13"
"12","AUS",2012,14,1499,"h","2012-W14"
"13","AUS",2012,15,2499,"h","2012-W15"
"14","AUS",2012,16,3021,"h","2012-W16"
"15","AUS",2012,17,940,"h","2012-W17"
"16","AUS",2012,18,2615,"h","2012-W18"
"17","AUS",2012,19,1514,"h","2012-W19"
"18","AUS",2012,20,2086,"h","2012-W20"
"19","AUS",2012,21,2039,"h","2012-W21"
"20","AUS",2012,22,1119,"h","2012-W22"
"21","AUS",2012,23,1789,"h","2012-W23"
"22","AUS",2012,24,1702,"h","2012-W24"
"23","AUS",2012,25,2230,"h","2012-W25"
"24","AUS",2012,26,1606,"h","2012-W26"
"25","AUS",2012,27,1912,"h","2012-W27"
"26","AUS",2012,28,529,"h","2012-W28"
"27","AUS",2012,29,1152,"h","2012-W29"
"28","AUS",2012,30,1538,"h","2012-W30"
"29","AUS",2012,31,2528,"h","2012-W31"
"30","AUS",2012,32,4444,"h","2012-W32"
"31","AUS",2012,33,3518,"h","2012-W33"
"32","AUS",2012,34,3336,"h","2012-W34"
"33","AUS",2012,35,5238,"h","2012-W35"
"34","AUS",2012,36,7985,"h","2012-W36"
"35","AUS",2012,37,6659,"h","2012-W37"
"36","AUS",2012,38,11479,"h","2012-W38"
"37","AUS",2012,39,8688,"h","2012-W39"
"38","AUS",2012,40,8571,"h","2012-W40"
"39","AUS",2012,41,8877,"h","2012-W41"
"40","AUS",2012,42,16246,"h","2012-W42"
"41","AUS",2012,43,21087,"h","2012-W43"
"42","AUS",2012,44,9739,"h","2012-W44"
"43","AUS",2012,45,12861,"h","2012-W45"
"44","AUS",2012,46,8332,"h","2012-W46"
"45","AUS",2012,47,10117,"h","2012-W47"
"46","AUS",2012,48,5422,"h","2012-W48"
"47","AUS",2012,49,7571,"h","2012-W49"
"48","AUS",2012,50,3945,"h","2012-W50"
"49","AUS",2012,51,1671,"h","2012-W51"
"50","AUS",2012,52,1899,"h","2012-W52"
"51","AUS",2013,1,3021,"h","2013-W01"
"52","AUS",2013,2,7881,"h","2013-W02"
"53","AUS",2013,3,2448,"h","2013-W03"
"54","AUS",2013,4,717,"h","2013-W04"
"55","AUS",2013,5,1645,"h","2013-W05"
"56","AUS",2013,6,1306,"h","2013-W06"
"57","AUS",2013,7,387,"h","2013-W07"
"58","AUS",2013,8,869,"h","2013-W08"
"59","AUS",2013,9,119,"h","2013-W09"
"60","AUS",2013,10,148,"h","2013-W10"
"61","AUS",2013,11,319,"h","2013-W11"
"62","AUS",2013,12,965,"h","2013-W12"
"63","AUS",2013,13,252,"h","2013-W13"
"64","AUS",2013,14,665,"h","2013-W14"
"65","AUS",2013,15,1238,"h","2013-W15"
"66","AUS",2013,16,1889,"h","2013-W16"
"67","AUS",2013,17,1638,"h","2013-W17"
"68","AUS",2013,18,1540,"h","2013-W18"
"69","AUS",2013,19,1502,"h","2013-W19"
"70","AUS",2013,20,201,"h","2013-W20"
"71","AUS",2013,21,260,"h","2013-W21"
