Name ,Status,Date of Classification
Acacia kingiana,Extinct,16-Jul-00
Acianthus ledwardii,Extinct,16-Jul-00
Amperea xiphoclada var. pedicellata,Extinct,16-Jul-00
Amphibromus whitei,Extinct,16-Jul-00
Caladenia brachyscapa,Extinct,16-Jul-00
Coleanthera virgata = Styphelia lanata,Extinct,16-Jul-00
Deyeuxia lawrencei,Extinct,16-Jul-00
Didymoglossum exiguum,Extinct,16-Jul-00
Diuris bracteata,Extinct,16-Jul-00
Euphrasia ruptura,Extinct,16-Jul-00
Frankenia decurrens,Extinct,16-Jul-00
Huperzia serrata,Extinct,16-Jul-00
Hymenophyllum lobbii,Extinct,16-Jul-00
Hymenophyllum whitei,Extinct,16-Jul-00
Lemmaphyllum accedens,Extinct,16-Jul-00
Lepidium drummondii,Extinct,16-Jul-00
Leucopogon cryptanthus,Extinct,16-Jul-00
Lycopodium volubile = Pseudodiphasium volubile,Extinct,16-Jul-00
Monogramma dareicarpa,Extinct,16-Jul-00
Musa fitzalanii,Extinct,16-Jul-00
Myriocephalus nudus,Extinct,4-Jul-19
Olearia oliganthema,Extinct,16-Jul-00
Opercularia acolytantha,Extinct,16-Jul-00
Ozothamnus selaginoides,Extinct,16-Jul-00
Paspalum batianoffii,Extinct,16-Jul-00
Persoonia laxa,Extinct,16-Jul-00
Persoonia prostrata,Extinct,16-Jul-00
Pultenaea maidenii,Extinct,16-Jul-00
Senecio georgianus,Extinct,16-Jul-00
Solanum bauerianum,Extinct,11-May-18
Tetratheca fasciculata,Extinct,16-Jul-00
Thomasia gardneri,Extinct,16-Jul-00
Tmesipteris lanceolata,Extinct,16-Jul-00
Trianthema cypseleoides,Extinct,16-Jul-00
Vanvoorstia bennettiana,Extinct,16-Oct-01
Abutilon julianae,Critically Endangered,25-Nov-03
Acacia blayana,Critically Endangered,15-Nov-23
Acacia cochlocarpa subsp. velutinosa,Critically Endangered,18-Aug-06
Acacia constablei,Critically Endangered,31-Mar-23
Acacia dangarensis,Critically Endangered,25-Sep-20
Acacia equisetifolia,Critically Endangered,18-Aug-06
Acacia forsteri,Critically Endangered,4-Sep-24
Acacia leptoneura,Critically Endangered,24-Sep-15
Acacia prismifolia,Critically Endangered,16-Jul-24
Acacia purpureopetala,Critically Endangered,24-Jan-14
Acacia unguicula,Critically Endangered,18-Aug-06
Acanthocladium dockeri,Critically Endangered,27-Nov-06
Achyranthes arborescens,Critically Endangered,25-Nov-03
Achyranthes margaretarum,Critically Endangered,25-Nov-03
Andersonia annelsii,Critically Endangered,11-May-18
Andersonia axilliflora,Critically Endangered,31-Mar-23
Androcalva adenothalia,Critically Endangered,4-Jul-19
Androcalva beeronensis,Critically Endangered,5-Sep-25
Androcalva bivillosa,Critically Endangered,11-May-18
Androcalva inglewoodensis,Critically Endangered,5-Sep-25
Androcalva perkinsiana,Critically Endangered,5-Oct-22
Anthosachne kingiana subsp. kingiana,Critically Endangered,25-Nov-03
Antrophyum austroqueenslandicum,Critically Endangered,4-Nov-20
Asplenium listeri,Critically Endangered,23-Jul-02
Asterolasia asteriscophora subsp. albiflora,Critically Endangered,5-Oct-22
Asterolasia beckersii,Critically Endangered,2-Mar-21
Asterolasia buxifolia,Critically Endangered,7-Sep-23
Astrotricha sp. Howe Range (D.E.Albrecht 1054),Critically Endangered,4-Sep-24
Atalaya brevialata,Critically Endangered,14-Dec-13
Austrostipa jacobsiana,Critically Endangered,15-Feb-18
Azorella macquariensis,Critically Endangered,19-Aug-10
Backhousia tetraptera,Critically Endangered,4-Sep-24
Banksia anatona,Critically Endangered,14-May-13
Banksia aurantia,Critically Endangered,14-May-13
Banksia brownii,Critically Endangered,31-Mar-23
Banksia fuscobractea,Critically Endangered,1-Dec-09
Banksia montana,Critically Endangered,5-Oct-22
Banksia paludosa subsp. astrolux,Critically Endangered,4-Sep-24
Banksia serratuloides subsp. perissa,Critically Endangered,14-May-13
Banksia vincentia,Critically Endangered,15-Feb-18
